script_name,status,return_code,duration_sec,stdout_log,stderr_log,error
unimarc_bebes_ninos.py,OK,0,133,C:\Users\fvergram\OneDrive - NTT DATA EMEAL\Desktop\webscrapping\Supermercados\Unimarc\logs_runs\20260309_190421\unimarc_bebes_ninos.py.out.log,C:\Users\fvergram\OneDrive - NTT DATA EMEAL\Desktop\webscrapping\Supermercados\Unimarc\logs_runs\20260309_190421\unimarc_bebes_ninos.py.err.log,
unimarc_bebidas_licores.py,OK,0,356,C:\Users\fvergram\OneDrive - NTT DATA EMEAL\Desktop\webscrapping\Supermercados\Unimarc\logs_runs\20260309_190421\unimarc_bebidas_licores.py.out.log,C:\Users\fvergram\OneDrive - NTT DATA EMEAL\Desktop\webscrapping\Supermercados\Unimarc\logs_runs\20260309_190421\unimarc_bebidas_licores.py.err.log,
unimarc_carnes.py,OK,0,223,C:\Users\fvergram\OneDrive - NTT DATA EMEAL\Desktop\webscrapping\Supermercados\Unimarc\logs_runs\20260309_190421\unimarc_carnes.py.out.log,C:\Users\fvergram\OneDrive - NTT DATA EMEAL\Desktop\webscrapping\Supermercados\Unimarc\logs_runs\20260309_190421\unimarc_carnes.py.err.log,
unimarc_congelados.py,OK,0,363,C:\Users\fvergram\OneDrive - NTT DATA EMEAL\Desktop\webscrapping\Supermercados\Unimarc\logs_runs\20260309_190421\unimarc_congelados.py.out.log,C:\Users\fvergram\OneDrive - NTT DATA EMEAL\Desktop\webscrapping\Supermercados\Unimarc\logs_runs\20260309_190421\unimarc_congelados.py.err.log,
unimarc_desayunos_dulces.py,OK,0,548,C:\Users\fvergram\OneDrive - NTT DATA EMEAL\Desktop\webscrapping\Supermercados\Unimarc\logs_runs\20260309_190421\unimarc_desayunos_dulces.py.out.log,C:\Users\fvergram\OneDrive - NTT DATA EMEAL\Desktop\webscrapping\Supermercados\Unimarc\logs_runs\20260309_190421\unimarc_desayunos_dulces.py.err.log,
unimarc_despensa.py,OK,0,885,C:\Users\fvergram\OneDrive - NTT DATA EMEAL\Desktop\webscrapping\Supermercados\Unimarc\logs_runs\20260309_190421\unimarc_despensa.py.out.log,C:\Users\fvergram\OneDrive - NTT DATA EMEAL\Desktop\webscrapping\Supermercados\Unimarc\logs_runs\20260309_190421\unimarc_despensa.py.err.log,
unimarc_fiambres.py,OK,0,145,C:\Users\fvergram\OneDrive - NTT DATA EMEAL\Desktop\webscrapping\Supermercados\Unimarc\logs_runs\20260309_190421\unimarc_fiambres.py.out.log,C:\Users\fvergram\OneDrive - NTT DATA EMEAL\Desktop\webscrapping\Supermercados\Unimarc\logs_runs\20260309_190421\unimarc_fiambres.py.err.log,
unimarc_frutas.py,OK,0,95,C:\Users\fvergram\OneDrive - NTT DATA EMEAL\Desktop\webscrapping\Supermercados\Unimarc\logs_runs\20260309_190421\unimarc_frutas.py.out.log,C:\Users\fvergram\OneDrive - NTT DATA EMEAL\Desktop\webscrapping\Supermercados\Unimarc\logs_runs\20260309_190421\unimarc_frutas.py.err.log,
unimarc_hogar.py,OK,0,324,C:\Users\fvergram\OneDrive - NTT DATA EMEAL\Desktop\webscrapping\Supermercados\Unimarc\logs_runs\20260309_190421\unimarc_hogar.py.out.log,C:\Users\fvergram\OneDrive - NTT DATA EMEAL\Desktop\webscrapping\Supermercados\Unimarc\logs_runs\20260309_190421\unimarc_hogar.py.err.log,
unimarc_lacteos.py,OK,0,273,C:\Users\fvergram\OneDrive - NTT DATA EMEAL\Desktop\webscrapping\Supermercados\Unimarc\logs_runs\20260309_190421\unimarc_lacteos.py.out.log,C:\Users\fvergram\OneDrive - NTT DATA EMEAL\Desktop\webscrapping\Supermercados\Unimarc\logs_runs\20260309_190421\unimarc_lacteos.py.err.log,
unimarc_limpieza.py,OK,0,340,C:\Users\fvergram\OneDrive - NTT DATA EMEAL\Desktop\webscrapping\Supermercados\Unimarc\logs_runs\20260309_190421\unimarc_limpieza.py.out.log,C:\Users\fvergram\OneDrive - NTT DATA EMEAL\Desktop\webscrapping\Supermercados\Unimarc\logs_runs\20260309_190421\unimarc_limpieza.py.err.log,
unimarc_mascota.py,OK,0,132,C:\Users\fvergram\OneDrive - NTT DATA EMEAL\Desktop\webscrapping\Supermercados\Unimarc\logs_runs\20260309_190421\unimarc_mascota.py.out.log,C:\Users\fvergram\OneDrive - NTT DATA EMEAL\Desktop\webscrapping\Supermercados\Unimarc\logs_runs\20260309_190421\unimarc_mascota.py.err.log,
unimarc_panaderia.py,OK,0,199,C:\Users\fvergram\OneDrive - NTT DATA EMEAL\Desktop\webscrapping\Supermercados\Unimarc\logs_runs\20260309_190421\unimarc_panaderia.py.out.log,C:\Users\fvergram\OneDrive - NTT DATA EMEAL\Desktop\webscrapping\Supermercados\Unimarc\logs_runs\20260309_190421\unimarc_panaderia.py.err.log,
unimarc_perfumerias.py,OK,0,372,C:\Users\fvergram\OneDrive - NTT DATA EMEAL\Desktop\webscrapping\Supermercados\Unimarc\logs_runs\20260309_190421\unimarc_perfumerias.py.out.log,C:\Users\fvergram\OneDrive - NTT DATA EMEAL\Desktop\webscrapping\Supermercados\Unimarc\logs_runs\20260309_190421\unimarc_perfumerias.py.err.log,
