idx_1;idx_2;supermarket_1;supermarket_2;name_1;name_2;brand_1;brand_2;price_1;price_2;size_std_1;size_std_2;unit_family;category_std;text_similarity;brand_score;final_score
4543;17358;jumbo;unimarc;Aceite de Oliva Banquete Extra Virgen 500 ml;Aceite de oliva Banquete extra virgen 500 ml;Banquete;Banquete;8990.0;9290.0;;;;;1.0;1.0;1.0
4549;17366;jumbo;unimarc;Aceite de Oliva Banquete Extra Virgen 250 ml;Aceite de oliva Banquete extra virgen 250 ml;Banquete;Banquete;5550.0;5890.0;;;;;1.0;1.0;1.0
4670;17366;jumbo;unimarc;Aceite de Oliva Banquete Extra Virgen 250 ml;Aceite de oliva Banquete extra virgen 250 ml;Banquete;Banquete;5550.0;5890.0;;;;;1.0;1.0;1.0
4531;17353;jumbo;unimarc;Aceite de Oliva Chef Extra Virgen 500 ml;Aceite de oliva Chef extra virgen 500 ml;Chef;Chef;9190.0;8000.0;;;;;1.0;1.0;1.0
4651;17353;jumbo;unimarc;Aceite de Oliva Chef Extra Virgen 500 ml;Aceite de oliva Chef extra virgen 500 ml;Chef;Chef;9190.0;8000.0;;;;;1.0;1.0;1.0
4533;17362;jumbo;unimarc;Aceite de Oliva Huasco Extra Virgen 500 ml;Aceite de oliva Huasco extra virgen 500 ml;Huasco;Huasco;8290.0;8290.0;;;;;1.0;1.0;1.0
4658;17362;jumbo;unimarc;Aceite de Oliva Huasco Extra Virgen 500 ml;Aceite de oliva Huasco extra virgen 500 ml;Huasco;Huasco;8290.0;8290.0;;;;;1.0;1.0;1.0
1682;22462;jumbo;unimarc;Acondicionador Elvive Dream Liso 370 ml;Acondicionador Elvive dream liso 370 ml;Elvive;Elvive;4520.0;5850.0;;;;;1.0;1.0;1.0
1684;22504;jumbo;unimarc;Acondicionador Elvive Hidra Hialurónico 680 ml;Acondicionador Elvive hidra hialurónico 680 ml;Elvive;Elvive;5990.0;8690.0;;;;;1.0;1.0;1.0
1704;22546;jumbo;unimarc;Acondicionador Elvive Reparación Total 5 370 ml;Acondicionador Elvive reparación total 370 ml;Elvive;Elvive;4320.0;5490.0;;;;;1.0;1.0;1.0
1700;22523;jumbo;unimarc;Acondicionador Herbal Essences Agua de Coco & Jazmín 600 ml;Acondicionador Herbal Essences agua de coco y jazmín 600 ml;Herbal Essences;Herbal Essences;7990.0;8590.0;;;;;1.0;1.0;1.0
1695;22495;jumbo;unimarc;Acondicionador Pantene Pro-V Bambú Nutre & Crece 400 ml;Acondicionador Pantene pro-v bambú nutre y crece 400 ml Acondicionador Pantene bambú 400 ml;Pantene;Pantene;5090.0;4450.0;;;;;0.8309;1.0;0.8731
10143;13698;jumbo;unimarc;Agua Mineral Cachantun Strong con Gas 1.6 L;Agua mineral Cachantun strong con gas 1.6 L;Cachantun;Cachantun;1150.0;1150.0;;;;;1.0;1.0;1.0
10143;13702;jumbo;unimarc;Agua Mineral Cachantun Strong con Gas 1.6 L;Agua mineral Cachantun strong con gas 600 ml;Cachantun;Cachantun;1150.0;970.0;;;;;0.7325;1.0;0.7993
10144;13688;jumbo;unimarc;Agua Mineral Cachantun Sin Gas 1.6 L;Agua mineral Cachantun sin gas 2.5 L;Cachantun;Cachantun;1150.0;1490.0;;;;;1.0;1.0;1.0
10144;13689;jumbo;unimarc;Agua Mineral Cachantun Sin Gas 1.6 L;Agua mineral Cachantun sin gas 1.6 L;Cachantun;Cachantun;1150.0;1150.0;;;;;1.0;1.0;1.0
10149;13702;jumbo;unimarc;Agua Mineral Cachantun Strong con Gas 600 cc;Agua mineral Cachantun strong con gas 600 ml;Cachantun;Cachantun;930.0;970.0;;;;;0.6951;1.0;0.7714
10165;13688;jumbo;unimarc;Agua Mineral Cachantun Sin Gas 1 L;Agua mineral Cachantun sin gas 2.5 L;Cachantun;Cachantun;1390.0;1490.0;;;;;1.0;1.0;1.0
10165;13689;jumbo;unimarc;Agua Mineral Cachantun Sin Gas 1 L;Agua mineral Cachantun sin gas 1.6 L;Cachantun;Cachantun;1390.0;1150.0;;;;;1.0;1.0;1.0
10264;13698;jumbo;unimarc;Agua Mineral Cachantun Strong con Gas 1.6 L;Agua mineral Cachantun strong con gas 1.6 L;Cachantun;Cachantun;1150.0;1150.0;;;;;1.0;1.0;1.0
10264;13702;jumbo;unimarc;Agua Mineral Cachantun Strong con Gas 1.6 L;Agua mineral Cachantun strong con gas 600 ml;Cachantun;Cachantun;1150.0;970.0;;;;;0.7325;1.0;0.7993
10267;13688;jumbo;unimarc;Agua Mineral Cachantun Sin Gas 1.6 L;Agua mineral Cachantun sin gas 2.5 L;Cachantun;Cachantun;1150.0;1490.0;;;;;1.0;1.0;1.0
10267;13689;jumbo;unimarc;Agua Mineral Cachantun Sin Gas 1.6 L;Agua mineral Cachantun sin gas 1.6 L;Cachantun;Cachantun;1150.0;1150.0;;;;;1.0;1.0;1.0
10272;13702;jumbo;unimarc;Agua Mineral Cachantun Strong con Gas 600 cc;Agua mineral Cachantun strong con gas 600 ml;Cachantun;Cachantun;930.0;970.0;;;;;0.6951;1.0;0.7714
10146;13684;jumbo;unimarc;Agua Mineral Vital Sin Gas 1.6 L;Agua mineral Vital sin gas botella 1.6 L;Vital;Vital;1050.0;990.0;;;;;0.7992;1.0;0.8494
10271;13684;jumbo;unimarc;Agua Mineral Vital Sin Gas 1.6 L;Agua mineral Vital sin gas botella 1.6 L;Vital;Vital;1050.0;990.0;;;;;0.7992;1.0;0.8494
13691;23983;unimarc;lider;Agua mineral Vital sin gas botella 600 ml;Agua Mineral Vital Sin Gas Botella, 600 ml;Vital;;890.0;850.0;;;;;0.9774;0.6;0.883
13707;32569;unimarc;lider;Agua mineral Vital con gas botella 600 ml;Agua Mineral Vital Con Gas Botella, 600 ml;Vital;;890.0;850.0;;;;;0.9824;0.6;0.8868
10181;13718;jumbo;unimarc;Agua Saborizada Mas Pera Sin Gas 1.6 L;Agua saborizada Más pera 1.6 L;Mas;Mas;1310.0;1320.0;;;;;0.7011;1.0;0.7758
10183;13717;jumbo;unimarc;Agua Saborizada Mas Manzana Sin Gas 1.6 L;Agua saborizada Más manzana 1.6 L;Mas;Mas;1310.0;1320.0;;;;;0.6922;1.0;0.7692
10184;13716;jumbo;unimarc;Agua Saborizada Mas Granada Sin Gas 1.6 L;Agua saborizada Más granada 1.6 L;Mas;Mas;1310.0;1320.0;;;;;0.7011;1.0;0.7758
10185;13715;jumbo;unimarc;Agua Saborizada Mas Citrus Gasificada 1.6 L;Agua saborizada Más citrus 1.6 L;Mas;Mas;1310.0;1320.0;;;;;0.7127;1.0;0.7845
10186;13726;jumbo;unimarc;Agua Saborizada Mas Mango Maracuyá Sin Gas 1.6 L;Agua saborizada Más mango y maracuyá 1.6 L;Mas;Mas;1350.0;1320.0;;;;;0.8181;1.0;0.8636
10187;13723;jumbo;unimarc;Agua Saborizada Mas Uva Sin Gas 1.6 L;Agua saborizada Más uva 1.6 L;Mas;Mas;1390.0;1320.0;;;;;0.7092;1.0;0.7819
10188;13720;jumbo;unimarc;Agua Saborizada Mas Piña Sin Gas 1.6 L;Agua saborizada Más piña 1.6 L;Mas;Mas;1390.0;1320.0;;;;;0.7092;1.0;0.7819
10256;13717;jumbo;unimarc;Agua Saborizada Mas Manzana Sin Gas 1.6 L;Agua saborizada Más manzana 1.6 L;Mas;Mas;1310.0;1320.0;;;;;0.6922;1.0;0.7692
10259;13718;jumbo;unimarc;Agua Saborizada Mas Pera Sin Gas 1.6 L;Agua saborizada Más pera 1.6 L;Mas;Mas;1310.0;1320.0;;;;;0.7011;1.0;0.7758
10262;13716;jumbo;unimarc;Agua Saborizada Mas Granada Sin Gas 1.6 L;Agua saborizada Más granada 1.6 L;Mas;Mas;1310.0;1320.0;;;;;0.7011;1.0;0.7758
10263;13715;jumbo;unimarc;Agua Saborizada Mas Citrus Gasificada 1.6 L;Agua saborizada Más citrus 1.6 L;Mas;Mas;1310.0;1320.0;;;;;0.7127;1.0;0.7845
10268;13726;jumbo;unimarc;Agua Saborizada Mas Mango Maracuyá Sin Gas 1.6 L;Agua saborizada Más mango y maracuyá 1.6 L;Mas;Mas;1350.0;1320.0;;;;;0.8181;1.0;0.8636
10269;13720;jumbo;unimarc;Agua Saborizada Mas Piña Sin Gas 1.6 L;Agua saborizada Más piña 1.6 L;Mas;Mas;1390.0;1320.0;;;;;0.7092;1.0;0.7819
10270;13723;jumbo;unimarc;Agua Saborizada Mas Uva Sin Gas 1.6 L;Agua saborizada Más uva 1.6 L;Mas;Mas;1390.0;1320.0;;;;;0.7092;1.0;0.7819
9899;13803;jumbo;unimarc;Bebida Bilz retornable 2.5 L + Envase;Bebida Bilz retornable 2 L + envase;Bilz;Bilz;2190.0;1590.0;;;;;1.0;1.0;1.0
9863;13876;jumbo;unimarc;Bebida Canada Dry Ginger Ale Light 1.5 L;Bebida Canada Dry ginger ale light no retornable 1.5 L;Canada Dry;Canada Dry;2050.0;1590.0;;;;;0.6931;1.0;0.7698
9886;13849;jumbo;unimarc;Bebida Canada Dry Ginger Ale Zero 3 L;Bebida Canada Dry ginger ale zero no retornable 3 L;Canada Dry;Canada Dry;2990.0;2390.0;;;;;0.6908;1.0;0.7681
9886;13865;jumbo;unimarc;Bebida Canada Dry Ginger Ale Zero 3 L;Bebida Canada Dry ginger ale zero no retornable 1.5 L;Canada Dry;Canada Dry;2990.0;1590.0;;;;;0.6908;1.0;0.7681
9933;13876;jumbo;unimarc;Bebida Canada Dry Ginger Ale Light 1.5 L;Bebida Canada Dry ginger ale light no retornable 1.5 L;Canada Dry;Canada Dry;2050.0;1590.0;;;;;0.6931;1.0;0.7698
9810;13758;jumbo;unimarc;Bebida Coca-Cola Original 1.5 L;Bebida Coca Cola original 1 L;Coca-Cola;Coca Cola;2190.0;1490.0;;;;;1.0;1.0;1.0
9810;13807;jumbo;unimarc;Bebida Coca-Cola Original 1.5 L;Bebida Coca Cola original 1.5 L;Coca-Cola;Coca Cola;2190.0;2150.0;;;;;1.0;1.0;1.0
9851;13843;jumbo;unimarc;Bebida Coca-Cola Light 1.5 L;Bebida Coca Cola light 1 L;Coca-Cola;Coca Cola Light;2190.0;1490.0;;;;;0.8224;0.9;0.8418
9851;13882;jumbo;unimarc;Bebida Coca-Cola Light 1.5 L;Bebida Coca Cola light 1.5 L;Coca-Cola;Coca Cola Light;2190.0;2150.0;;;;;0.8224;0.9;0.8418
9852;13838;jumbo;unimarc;Bebida Coca-Cola Zero 1.5 L;Bebida Coca Cola zero 1 L;Coca-Cola;Coca Cola Zero;2190.0;1490.0;;;;;0.8478;0.9;0.8609
9852;13852;jumbo;unimarc;Bebida Coca-Cola Zero 1.5 L;Bebida Coca Cola zero 1.5 L;Coca-Cola;Coca Cola Zero;2190.0;2150.0;;;;;0.8478;0.9;0.8609
9855;13838;jumbo;unimarc;Bebida Coca-Cola Zero 3 L;Bebida Coca Cola zero 1 L;Coca-Cola;Coca Cola Zero;3350.0;1490.0;;;;;0.8478;0.9;0.8609
9855;13852;jumbo;unimarc;Bebida Coca-Cola Zero 3 L;Bebida Coca Cola zero 1.5 L;Coca-Cola;Coca Cola Zero;3350.0;2150.0;;;;;0.8478;0.9;0.8609
9858;13843;jumbo;unimarc;Bebida Coca-Cola Light 3 L;Bebida Coca Cola light 1 L;Coca-Cola;Coca Cola Light;3350.0;1490.0;;;;;0.8224;0.9;0.8418
9858;13882;jumbo;unimarc;Bebida Coca-Cola Light 3 L;Bebida Coca Cola light 1.5 L;Coca-Cola;Coca Cola Light;3350.0;2150.0;;;;;0.8224;0.9;0.8418
9891;13808;jumbo;unimarc;Bebida Coca Cola retornable 3 L + Envase;Bebida Coca Cola retornable 2 L + envase;Coca-Cola;Coca Cola;2690.0;1990.0;;;;;1.0;1.0;1.0
9892;13808;jumbo;unimarc;Bebida Coca Cola retornable 2 L + Envase;Bebida Coca Cola retornable 2 L + envase;Coca-Cola;Coca Cola;2050.0;1990.0;;;;;1.0;1.0;1.0
9905;13838;jumbo;unimarc;Bebida Coca-Cola Zero 1.5 L;Bebida Coca Cola zero 1 L;Coca-Cola;Coca Cola Zero;2190.0;1490.0;;;;;0.8478;0.9;0.8609
9905;13852;jumbo;unimarc;Bebida Coca-Cola Zero 1.5 L;Bebida Coca Cola zero 1.5 L;Coca-Cola;Coca Cola Zero;2190.0;2150.0;;;;;0.8478;0.9;0.8609
9906;13758;jumbo;unimarc;Bebida Coca-Cola Original 1.5 L;Bebida Coca Cola original 1 L;Coca-Cola;Coca Cola;2190.0;1490.0;;;;;1.0;1.0;1.0
9906;13807;jumbo;unimarc;Bebida Coca-Cola Original 1.5 L;Bebida Coca Cola original 1.5 L;Coca-Cola;Coca Cola;2190.0;2150.0;;;;;1.0;1.0;1.0
9912;13843;jumbo;unimarc;Bebida Coca-Cola Light 1.5 L;Bebida Coca Cola light 1 L;Coca-Cola;Coca Cola Light;2190.0;1490.0;;;;;0.8224;0.9;0.8418
9912;13882;jumbo;unimarc;Bebida Coca-Cola Light 1.5 L;Bebida Coca Cola light 1.5 L;Coca-Cola;Coca Cola Light;2190.0;2150.0;;;;;0.8224;0.9;0.8418
9913;13838;jumbo;unimarc;Bebida Coca-Cola Zero 3 L;Bebida Coca Cola zero 1 L;Coca-Cola;Coca Cola Zero;3350.0;1490.0;;;;;0.8478;0.9;0.8609
9913;13852;jumbo;unimarc;Bebida Coca-Cola Zero 3 L;Bebida Coca Cola zero 1.5 L;Coca-Cola;Coca Cola Zero;3350.0;2150.0;;;;;0.8478;0.9;0.8609
9926;13843;jumbo;unimarc;Bebida Coca-Cola Light 3 L;Bebida Coca Cola light 1 L;Coca-Cola;Coca Cola Light;3350.0;1490.0;;;;;0.8224;0.9;0.8418
9926;13882;jumbo;unimarc;Bebida Coca-Cola Light 3 L;Bebida Coca Cola light 1.5 L;Coca-Cola;Coca Cola Light;3350.0;2150.0;;;;;0.8224;0.9;0.8418
10495;13915;jumbo;unimarc;Bebida Energética Red Bull Fruta del Dragón 250 ml;Bebida energética Red bull sabor fruta del dragón 250 ml;Red Bull;Red Bull;1790.0;1880.0;;;;;0.7107;1.0;0.783
10508;13922;jumbo;unimarc;Bebida Energética Rockstar Mango Power 500 cc;Bebida energética Rockstar mango power 500 ml;Rockstar;Rockstar;1090.0;1050.0;;;;;0.7199;1.0;0.7899
10486;13907;jumbo;unimarc;Bebida Energética Score Gorilla Lata 473 cc;Bebida energética Score gorilla lata 473 ml;Score;Score;1000.0;1000.0;;;;;0.72;1.0;0.79
10496;13920;jumbo;unimarc;Bebida Energética Score Original Lata 473 cc;Bebida energética Score original lata 473 ml;Score;Score;1000.0;1000.0;;;;;0.7669;1.0;0.8252
13963;23938;unimarc;lider;Bebida hidratante Electrolit sabor maracuyá 625 ml;Bebida Hidratante Electrolit Sabor Maracuyá, 625 ml;Electrolit;;2490.0;1850.0;;;;;0.9614;0.6;0.871
10718;13932;jumbo;unimarc;Bebida Isotónica Gatorade Frutas Tropicales 1 L;Bebida isotónica Gatorade Frutas Tropicales 1 L.;Gatorade;Gatorade;1690.0;1690.0;;;;;1.0;1.0;1.0
10723;13936;jumbo;unimarc;Bebida Isotónica Gatorade Naranja 1 L;Bebida isotónica Gatorade naranja 1 L;Gatorade;Gatorade;1690.0;1690.0;;;;;1.0;1.0;1.0
10725;13969;jumbo;unimarc;Bebida Isotónica Gatorade Frutas Tropicales 500 cc;Bebida isotónica Gatorade frutas tropicales 500 ml;Gatorade;Gatorade;1190.0;1190.0;;;;;0.717;1.0;0.7877
10732;13958;jumbo;unimarc;Bebida Isotónica Gatorade Cool Blue 500 cc;Bebida isotónica Gatorade cool blue 500 ml;Gatorade;Gatorade;1190.0;1190.0;;;;;0.7232;1.0;0.7924
10736;13962;jumbo;unimarc;Bebida Isotónica Gatorade Naranja 500 cc;Bebida isotónica Gatorade naranja 500 ml;Gatorade;Gatorade;1120.0;1190.0;;;;;0.6708;1.0;0.7531
10741;13933;jumbo;unimarc;Bebida Isotónica Gatorade Cool Blue 750 ml;Bebida isotónica Gatorade cool blue 750 ml;Gatorade;Gatorade;1450.0;1000.0;;;;;1.0;1.0;1.0
10715;13951;jumbo;unimarc;Bebida Isotónica Powerade Frozen Blast Zero 1.1 L;Bebida isotónica Powerade frozen blast 1.1 L;Powerade;Powerade;1290.0;1290.0;;;;;0.7496;1.0;0.8122
10717;13951;jumbo;unimarc;Bebida Isotónica Powerade Frozen Blast 1.1 L;Bebida isotónica Powerade frozen blast 1.1 L;Powerade;Powerade;1290.0;1290.0;;;;;1.0;1.0;1.0
10730;13952;jumbo;unimarc;Bebida Isotónica Powerade Rojo 1.1 L;Bebida isotónica Powerade rojo 1.1 L;Powerade;Powerade;1290.0;1290.0;;;;;1.0;1.0;1.0
10737;13957;jumbo;unimarc;Bebida Isotónica Powerade Naranja 1.1 L;Bebida isotónica Powerade naranja 1.1 L;Powerade;Powerade;1290.0;1290.0;;;;;1.0;1.0;1.0
10742;13951;jumbo;unimarc;Bebida Isotónica Powerade Frozen Blast 850 ml;Bebida isotónica Powerade frozen blast 1.1 L;Powerade;Powerade;1390.0;1290.0;;;;;0.6805;1.0;0.7604
10753;13937;jumbo;unimarc;Bebida Isotónica Suerox Frutos Rojos 630 cc;Bebida isotónica Suerox frutos rojos 630 ml;Suerox;Suerox;2090.0;2910.0;;;;;0.8331;1.0;0.8748
10756;13940;jumbo;unimarc;Bebida Isotónica Suerox Piña 630 cc;Bebida isotónica Suerox piña 630 ml;Suerox;Suerox;2090.0;2910.0;;;;;0.7558;1.0;0.8169
10762;13941;jumbo;unimarc;Bebida Isotónica Suerox Frutilla Kiwi 630 ml;Bebida isotónica Suerox frutilla kiwi 630 ml;Suerox;Suerox;2090.0;2910.0;;;;;1.0;1.0;1.0
