script_name,status,return_code,duration_sec,stdout_log,stderr_log,error
lider_bebes_jugueteria.py,OK,0,1756,C:\Users\fvergram\OneDrive - NTT DATA EMEAL\Desktop\webscrapping\Supermercados\Lider\logs_runs\20260317_200814\lider_bebes_jugueteria.py.out.log,C:\Users\fvergram\OneDrive - NTT DATA EMEAL\Desktop\webscrapping\Supermercados\Lider\logs_runs\20260317_200814\lider_bebes_jugueteria.py.err.log,
lider_bebidas_snack.py,OK,0,679,C:\Users\fvergram\OneDrive - NTT DATA EMEAL\Desktop\webscrapping\Supermercados\Lider\logs_runs\20260317_200814\lider_bebidas_snack.py.out.log,C:\Users\fvergram\OneDrive - NTT DATA EMEAL\Desktop\webscrapping\Supermercados\Lider\logs_runs\20260317_200814\lider_bebidas_snack.py.err.log,
lider_carnes_pescados.py,OK,0,880,C:\Users\fvergram\OneDrive - NTT DATA EMEAL\Desktop\webscrapping\Supermercados\Lider\logs_runs\20260317_200814\lider_carnes_pescados.py.out.log,C:\Users\fvergram\OneDrive - NTT DATA EMEAL\Desktop\webscrapping\Supermercados\Lider\logs_runs\20260317_200814\lider_carnes_pescados.py.err.log,
lider_chocolates.py,OK,0,278,C:\Users\fvergram\OneDrive - NTT DATA EMEAL\Desktop\webscrapping\Supermercados\Lider\logs_runs\20260317_200814\lider_chocolates.py.out.log,C:\Users\fvergram\OneDrive - NTT DATA EMEAL\Desktop\webscrapping\Supermercados\Lider\logs_runs\20260317_200814\lider_chocolates.py.err.log,
lider_colaciones.py,OK,0,787,C:\Users\fvergram\OneDrive - NTT DATA EMEAL\Desktop\webscrapping\Supermercados\Lider\logs_runs\20260317_200814\lider_colaciones.py.out.log,C:\Users\fvergram\OneDrive - NTT DATA EMEAL\Desktop\webscrapping\Supermercados\Lider\logs_runs\20260317_200814\lider_colaciones.py.err.log,
lider_congelados.py,OK,0,425,C:\Users\fvergram\OneDrive - NTT DATA EMEAL\Desktop\webscrapping\Supermercados\Lider\logs_runs\20260317_200814\lider_congelados.py.out.log,C:\Users\fvergram\OneDrive - NTT DATA EMEAL\Desktop\webscrapping\Supermercados\Lider\logs_runs\20260317_200814\lider_congelados.py.err.log,
lider_desayunos_dulces.py,OK,0,814,C:\Users\fvergram\OneDrive - NTT DATA EMEAL\Desktop\webscrapping\Supermercados\Lider\logs_runs\20260317_200814\lider_desayunos_dulces.py.out.log,C:\Users\fvergram\OneDrive - NTT DATA EMEAL\Desktop\webscrapping\Supermercados\Lider\logs_runs\20260317_200814\lider_desayunos_dulces.py.err.log,
lider_despensa.py,OK,0,972,C:\Users\fvergram\OneDrive - NTT DATA EMEAL\Desktop\webscrapping\Supermercados\Lider\logs_runs\20260317_200814\lider_despensa.py.out.log,C:\Users\fvergram\OneDrive - NTT DATA EMEAL\Desktop\webscrapping\Supermercados\Lider\logs_runs\20260317_200814\lider_despensa.py.err.log,
lider_frescos_lacteos.py,OK,0,1387,C:\Users\fvergram\OneDrive - NTT DATA EMEAL\Desktop\webscrapping\Supermercados\Lider\logs_runs\20260317_200814\lider_frescos_lacteos.py.out.log,C:\Users\fvergram\OneDrive - NTT DATA EMEAL\Desktop\webscrapping\Supermercados\Lider\logs_runs\20260317_200814\lider_frescos_lacteos.py.err.log,
lider_frutas_verduras.py,OK,0,654,C:\Users\fvergram\OneDrive - NTT DATA EMEAL\Desktop\webscrapping\Supermercados\Lider\logs_runs\20260317_200814\lider_frutas_verduras.py.out.log,C:\Users\fvergram\OneDrive - NTT DATA EMEAL\Desktop\webscrapping\Supermercados\Lider\logs_runs\20260317_200814\lider_frutas_verduras.py.err.log,
lider_higiene_cuidado_personal.py,OK,0,1446,C:\Users\fvergram\OneDrive - NTT DATA EMEAL\Desktop\webscrapping\Supermercados\Lider\logs_runs\20260317_200814\lider_higiene_cuidado_personal.py.out.log,C:\Users\fvergram\OneDrive - NTT DATA EMEAL\Desktop\webscrapping\Supermercados\Lider\logs_runs\20260317_200814\lider_higiene_cuidado_personal.py.err.log,
lider_la_boti.py,OK,0,1122,C:\Users\fvergram\OneDrive - NTT DATA EMEAL\Desktop\webscrapping\Supermercados\Lider\logs_runs\20260317_200814\lider_la_boti.py.out.log,C:\Users\fvergram\OneDrive - NTT DATA EMEAL\Desktop\webscrapping\Supermercados\Lider\logs_runs\20260317_200814\lider_la_boti.py.err.log,
lider_limpieza_aseo.py,OK,0,543,C:\Users\fvergram\OneDrive - NTT DATA EMEAL\Desktop\webscrapping\Supermercados\Lider\logs_runs\20260317_200814\lider_limpieza_aseo.py.out.log,C:\Users\fvergram\OneDrive - NTT DATA EMEAL\Desktop\webscrapping\Supermercados\Lider\logs_runs\20260317_200814\lider_limpieza_aseo.py.err.log,
lider_mascota.py,OK,0,553,C:\Users\fvergram\OneDrive - NTT DATA EMEAL\Desktop\webscrapping\Supermercados\Lider\logs_runs\20260317_200814\lider_mascota.py.out.log,C:\Users\fvergram\OneDrive - NTT DATA EMEAL\Desktop\webscrapping\Supermercados\Lider\logs_runs\20260317_200814\lider_mascota.py.err.log,
lider_panaderia_pasteleria.py,OK,0,879,C:\Users\fvergram\OneDrive - NTT DATA EMEAL\Desktop\webscrapping\Supermercados\Lider\logs_runs\20260317_200814\lider_panaderia_pasteleria.py.out.log,C:\Users\fvergram\OneDrive - NTT DATA EMEAL\Desktop\webscrapping\Supermercados\Lider\logs_runs\20260317_200814\lider_panaderia_pasteleria.py.err.log,
