script_name,status,return_code,duration_sec,stdout_log,stderr_log,error
unimarc_bebes_ninos.py,OK,0,92,C:\Users\fvergram\OneDrive - NTT DATA EMEAL\Desktop\webscrapping\Supermercados\Unimarc\logs_runs\20260223_121651\unimarc_bebes_ninos.py.out.log,C:\Users\fvergram\OneDrive - NTT DATA EMEAL\Desktop\webscrapping\Supermercados\Unimarc\logs_runs\20260223_121651\unimarc_bebes_ninos.py.err.log,
unimarc_bebidas_licores.py,OK,0,2250,C:\Users\fvergram\OneDrive - NTT DATA EMEAL\Desktop\webscrapping\Supermercados\Unimarc\logs_runs\20260223_121651\unimarc_bebidas_licores.py.out.log,C:\Users\fvergram\OneDrive - NTT DATA EMEAL\Desktop\webscrapping\Supermercados\Unimarc\logs_runs\20260223_121651\unimarc_bebidas_licores.py.err.log,
unimarc_carnes.py,ERROR,1,69,C:\Users\fvergram\OneDrive - NTT DATA EMEAL\Desktop\webscrapping\Supermercados\Unimarc\logs_runs\20260223_121651\unimarc_carnes.py.out.log,C:\Users\fvergram\OneDrive - NTT DATA EMEAL\Desktop\webscrapping\Supermercados\Unimarc\logs_runs\20260223_121651\unimarc_carnes.py.err.log,
unimarc_congelados.py,OK,0,426,C:\Users\fvergram\OneDrive - NTT DATA EMEAL\Desktop\webscrapping\Supermercados\Unimarc\logs_runs\20260223_121651\unimarc_congelados.py.out.log,C:\Users\fvergram\OneDrive - NTT DATA EMEAL\Desktop\webscrapping\Supermercados\Unimarc\logs_runs\20260223_121651\unimarc_congelados.py.err.log,
unimarc_desayunos_dulces.py,OK,0,730,C:\Users\fvergram\OneDrive - NTT DATA EMEAL\Desktop\webscrapping\Supermercados\Unimarc\logs_runs\20260223_121651\unimarc_desayunos_dulces.py.out.log,C:\Users\fvergram\OneDrive - NTT DATA EMEAL\Desktop\webscrapping\Supermercados\Unimarc\logs_runs\20260223_121651\unimarc_desayunos_dulces.py.err.log,
unimarc_despensa.py,OK,0,1170,C:\Users\fvergram\OneDrive - NTT DATA EMEAL\Desktop\webscrapping\Supermercados\Unimarc\logs_runs\20260223_121651\unimarc_despensa.py.out.log,C:\Users\fvergram\OneDrive - NTT DATA EMEAL\Desktop\webscrapping\Supermercados\Unimarc\logs_runs\20260223_121651\unimarc_despensa.py.err.log,
unimarc_fiambres.py,OK,0,302,C:\Users\fvergram\OneDrive - NTT DATA EMEAL\Desktop\webscrapping\Supermercados\Unimarc\logs_runs\20260223_121651\unimarc_fiambres.py.out.log,C:\Users\fvergram\OneDrive - NTT DATA EMEAL\Desktop\webscrapping\Supermercados\Unimarc\logs_runs\20260223_121651\unimarc_fiambres.py.err.log,
unimarc_frutas.py,OK,0,328,C:\Users\fvergram\OneDrive - NTT DATA EMEAL\Desktop\webscrapping\Supermercados\Unimarc\logs_runs\20260223_121651\unimarc_frutas.py.out.log,C:\Users\fvergram\OneDrive - NTT DATA EMEAL\Desktop\webscrapping\Supermercados\Unimarc\logs_runs\20260223_121651\unimarc_frutas.py.err.log,
unimarc_hogar.py,OK,0,2544,C:\Users\fvergram\OneDrive - NTT DATA EMEAL\Desktop\webscrapping\Supermercados\Unimarc\logs_runs\20260223_121651\unimarc_hogar.py.out.log,C:\Users\fvergram\OneDrive - NTT DATA EMEAL\Desktop\webscrapping\Supermercados\Unimarc\logs_runs\20260223_121651\unimarc_hogar.py.err.log,
unimarc_lacteos.py,OK,0,1785,C:\Users\fvergram\OneDrive - NTT DATA EMEAL\Desktop\webscrapping\Supermercados\Unimarc\logs_runs\20260223_121651\unimarc_lacteos.py.out.log,C:\Users\fvergram\OneDrive - NTT DATA EMEAL\Desktop\webscrapping\Supermercados\Unimarc\logs_runs\20260223_121651\unimarc_lacteos.py.err.log,
unimarc_limpieza.py,OK,0,2045,C:\Users\fvergram\OneDrive - NTT DATA EMEAL\Desktop\webscrapping\Supermercados\Unimarc\logs_runs\20260223_121651\unimarc_limpieza.py.out.log,C:\Users\fvergram\OneDrive - NTT DATA EMEAL\Desktop\webscrapping\Supermercados\Unimarc\logs_runs\20260223_121651\unimarc_limpieza.py.err.log,
unimarc_mascota.py,OK,0,555,C:\Users\fvergram\OneDrive - NTT DATA EMEAL\Desktop\webscrapping\Supermercados\Unimarc\logs_runs\20260223_121651\unimarc_mascota.py.out.log,C:\Users\fvergram\OneDrive - NTT DATA EMEAL\Desktop\webscrapping\Supermercados\Unimarc\logs_runs\20260223_121651\unimarc_mascota.py.err.log,
unimarc_panaderia.py,OK,0,823,C:\Users\fvergram\OneDrive - NTT DATA EMEAL\Desktop\webscrapping\Supermercados\Unimarc\logs_runs\20260223_121651\unimarc_panaderia.py.out.log,C:\Users\fvergram\OneDrive - NTT DATA EMEAL\Desktop\webscrapping\Supermercados\Unimarc\logs_runs\20260223_121651\unimarc_panaderia.py.err.log,
unimarc_perfumerias.py,OK,0,343,C:\Users\fvergram\OneDrive - NTT DATA EMEAL\Desktop\webscrapping\Supermercados\Unimarc\logs_runs\20260223_121651\unimarc_perfumerias.py.out.log,C:\Users\fvergram\OneDrive - NTT DATA EMEAL\Desktop\webscrapping\Supermercados\Unimarc\logs_runs\20260223_121651\unimarc_perfumerias.py.err.log,
